   Internal  Switching    Leakage      Total
      Power      Power      Power      Power
--------------------------------------------
   6.94e-07   4.91e-08   8.44e-12   7.43e-07 _15504_
   6.94e-07   4.91e-08   8.44e-12   7.43e-07 _15359_
   6.94e-07   4.91e-08   8.44e-12   7.43e-07 _15568_
   6.94e-07   4.91e-08   8.44e-12   7.43e-07 _15424_
   6.94e-07   4.91e-08   8.44e-12   7.43e-07 _15436_
   6.94e-07   4.91e-08   8.44e-12   7.43e-07 _15376_
   6.94e-07   4.91e-08   8.44e-12   7.43e-07 _15552_
   6.94e-07   4.91e-08   8.44e-12   7.43e-07 _15488_
   6.94e-07   4.91e-08   8.44e-12   7.43e-07 _15444_
   6.94e-07   4.91e-08   8.44e-12   7.43e-07 _15360_
   6.94e-07   4.91e-08   8.44e-12   7.43e-07 _15500_
   6.94e-07   4.91e-08   8.44e-12   7.43e-07 _15380_
   6.94e-07   4.91e-08   8.44e-12   7.43e-07 _15508_
   6.94e-07   4.91e-08   8.44e-12   7.43e-07 _15572_
   6.94e-07   4.91e-08   8.44e-12   7.43e-07 _15372_
   6.94e-07   4.91e-08   8.44e-12   7.43e-07 _15564_
   6.95e-07   4.83e-08   8.44e-12   7.43e-07 _15506_
   6.95e-07   4.83e-08   8.44e-12   7.43e-07 _15570_
   6.95e-07   4.83e-08   8.44e-12   7.43e-07 _15426_
   6.94e-07   4.91e-08   8.44e-12   7.43e-07 _15448_
   6.95e-07   4.83e-08   8.44e-12   7.43e-07 _15442_
   6.95e-07   4.83e-08   8.44e-12   7.43e-07 _15378_
   6.94e-07   4.83e-08   8.44e-12   7.43e-07 _15438_
   6.94e-07   4.91e-08   8.44e-12   7.43e-07 _15576_
   6.94e-07   4.83e-08   8.44e-12   7.43e-07 _15502_
   6.94e-07   4.91e-08   8.44e-12   7.43e-07 _15384_
   6.94e-07   4.83e-08   8.44e-12   7.43e-07 _15374_
   6.94e-07   4.83e-08   8.44e-12   7.43e-07 _15566_
   6.94e-07   4.83e-08   8.44e-12   7.43e-07 _15446_
   6.94e-07   4.83e-08   8.44e-12   7.43e-07 _15510_
   6.94e-07   4.83e-08   8.44e-12   7.43e-07 _15574_
   6.82e-07   6.08e-08   8.44e-12   7.43e-07 _16777_
   6.94e-07   4.83e-08   8.44e-12   7.43e-07 _15382_
   6.94e-07   4.83e-08   8.44e-12   7.43e-07 _15558_
   6.94e-07   4.83e-08   8.44e-12   7.43e-07 _15494_
   6.82e-07   6.08e-08   8.44e-12   7.42e-07 _16867_
   6.82e-07   6.08e-08   8.44e-12   7.42e-07 _16722_
   6.94e-07   4.83e-08   8.44e-12   7.42e-07 _15366_
   6.94e-07   4.83e-08   8.44e-12   7.42e-07 _15430_
   6.90e-07   5.23e-08   8.44e-12   7.42e-07 _15998_
   6.92e-07   5.05e-08   8.44e-12   7.42e-07 _15613_
   6.90e-07   5.23e-08   8.44e-12   7.42e-07 _16026_
   6.90e-07   5.23e-08   8.44e-12   7.42e-07 _16062_
   6.92e-07   5.05e-08   8.44e-12   7.42e-07 _15741_
   6.92e-07   5.05e-08   8.44e-12   7.42e-07 _15677_
   6.92e-07   5.05e-08   8.44e-12   7.42e-07 _15805_
   6.90e-07   5.23e-08   8.44e-12   7.42e-07 _16084_
   6.89e-07   5.23e-08   8.44e-12   7.42e-07 _16013_
   6.89e-07   5.23e-08   8.44e-12   7.42e-07 _16080_
   6.89e-07   5.23e-08   8.44e-12   7.42e-07 _16065_
   6.75e-07   6.64e-08   8.44e-12   7.42e-07 _16651_
   6.89e-07   5.23e-08   8.44e-12   7.42e-07 _16088_
   6.89e-07   5.23e-08   8.44e-12   7.42e-07 _16024_
   6.95e-07   4.65e-08   8.44e-12   7.42e-07 _15638_
   6.95e-07   4.65e-08   8.44e-12   7.41e-07 _15830_
   6.95e-07   4.65e-08   8.44e-12   7.41e-07 _15702_
   6.72e-07   6.91e-08   8.44e-12   7.41e-07 _16665_
   6.72e-07   6.91e-08   8.44e-12   7.41e-07 _16669_
   6.90e-07   5.16e-08   8.44e-12   7.41e-07 _16028_
   6.90e-07   5.16e-08   8.44e-12   7.41e-07 _16092_
   6.82e-07   5.94e-08   8.44e-12   7.41e-07 _16840_
   6.92e-07   4.91e-08   8.44e-12   7.41e-07 _15556_
